CookerStat, GenerateAssetRegistry=0.023685, Initialize=0.119887, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_0, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.536042, FlushAsyncLoading=0.012863, FlushStreamingFunc=0.047956, BlockTillAllRequestsFinished=0.007018, ResetLoadersForSaveUnMarkAllObjects=0.223689, TagPackageExports=15.795961, BeginCacheForCookedPlatformData=0.005558, SerializeImports=17.130491, GatherLocalizableTextData=14.279262, MarkNames=0.126317, SerializeSummary=0.021055, SerializeNames=0.423986, SerializeGatherableTextData=0.226904, BuildExportMap=0.295036, SortExportsNonSeekfree=2.647135, SortExportsSeekfreeConstructor=0.071052, SortExportsSeekfreeInner=31.243668, SortExportsSeekfree=0.009067, BuildDependencyMap=0.149708, SerializeImportMap=0.026315, SerializeExportMap=0.082750, SerializeDependencyMap=0.017837, SerializeStringAssetReferenceMap=0.002630, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.397577, SerializeExports=21.958668, SerializeBulkData=0.026900, MoveFile=3.103286, UnaccountedTime=0.749432, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_1, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=0.441238, FlushAsyncLoading=0.003215, FlushStreamingFunc=0.054389, BlockTillAllRequestsFinished=0.005554, ResetLoadersForSaveUnMarkAllObjects=613.737122, TagPackageExports=1.522548, BeginCacheForCookedPlatformData=0.002924, SerializeImports=2.305899, GatherLocalizableTextData=13.283040, MarkNames=0.099126, SerializeSummary=0.016958, SerializeNames=0.504106, SerializeGatherableTextData=0.034504, BuildExportMap=0.280123, SortExportsNonSeekfree=0.699431, SortExportsSeekfreeConstructor=0.061989, SortExportsSeekfreeInner=27.490660, SortExportsSeekfree=0.009649, BuildDependencyMap=0.146788, SerializeImportMap=0.059359, SerializeExportMap=0.047952, SerializeDependencyMap=0.012573, SerializeStringAssetReferenceMap=0.002339, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.194473, SerializeExports=6.528210, SerializeBulkData=1152.242554, MoveFile=4.618816, UnaccountedTime=0.714928, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_2, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.330999, FlushAsyncLoading=0.003219, FlushStreamingFunc=0.038598, BlockTillAllRequestsFinished=0.004385, ResetLoadersForSaveUnMarkAllObjects=0.115208, TagPackageExports=16.018190, BeginCacheForCookedPlatformData=0.005849, SerializeImports=16.792473, GatherLocalizableTextData=13.941534, MarkNames=0.123978, SerializeSummary=0.018131, SerializeNames=0.406735, SerializeGatherableTextData=0.105266, BuildExportMap=0.270180, SortExportsNonSeekfree=2.712924, SortExportsSeekfreeConstructor=0.104390, SortExportsSeekfreeInner=31.347178, SortExportsSeekfree=0.008188, BuildDependencyMap=0.135966, SerializeImportMap=0.024565, SerializeExportMap=0.081871, SerializeDependencyMap=0.018422, SerializeStringAssetReferenceMap=0.002339, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.179733, SerializeExports=22.596109, SerializeBulkData=0.012279, MoveFile=3.055625, UnaccountedTime=0.816390, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_3, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.314917, FlushAsyncLoading=0.002339, FlushStreamingFunc=0.068422, BlockTillAllRequestsFinished=0.004970, ResetLoadersForSaveUnMarkAllObjects=0.110824, TagPackageExports=15.657652, BeginCacheForCookedPlatformData=0.006434, SerializeImports=17.100666, GatherLocalizableTextData=14.227215, MarkNames=0.123978, SerializeSummary=0.016376, SerializeNames=0.401471, SerializeGatherableTextData=0.109065, BuildExportMap=0.342406, SortExportsNonSeekfree=2.796844, SortExportsSeekfreeConstructor=0.064913, SortExportsSeekfreeInner=30.497746, SortExportsSeekfree=0.008482, BuildDependencyMap=0.138890, SerializeImportMap=0.024855, SerializeExportMap=0.083629, SerializeDependencyMap=0.014327, SerializeStringAssetReferenceMap=0.001755, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.989379, SerializeExports=22.203703, SerializeBulkData=0.011403, MoveFile=3.108840, UnaccountedTime=0.789199, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_4, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.326905, FlushAsyncLoading=0.002634, FlushStreamingFunc=0.028361, BlockTillAllRequestsFinished=0.003219, ResetLoadersForSaveUnMarkAllObjects=0.108775, TagPackageExports=15.431334, BeginCacheForCookedPlatformData=0.007015, SerializeImports=16.891598, GatherLocalizableTextData=15.636895, MarkNames=0.129241, SerializeSummary=0.018712, SerializeNames=0.408784, SerializeGatherableTextData=0.114035, BuildExportMap=0.283342, SortExportsNonSeekfree=2.721403, SortExportsSeekfreeConstructor=0.067838, SortExportsSeekfreeInner=31.910643, SortExportsSeekfree=0.008479, BuildDependencyMap=0.151172, SerializeImportMap=0.025436, SerializeExportMap=0.084214, SerializeDependencyMap=0.017837, SerializeStringAssetReferenceMap=0.002339, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.163067, SerializeExports=24.441763, SerializeBulkData=0.013743, MoveFile=3.200069, UnaccountedTime=0.722531, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_5, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.310823, FlushAsyncLoading=0.002634, FlushStreamingFunc=0.027776, BlockTillAllRequestsFinished=0.003219, ResetLoadersForSaveUnMarkAllObjects=0.107020, TagPackageExports=16.706507, BeginCacheForCookedPlatformData=0.007018, SerializeImports=16.894524, GatherLocalizableTextData=15.268169, MarkNames=0.125151, SerializeSummary=0.018127, SerializeNames=0.405274, SerializeGatherableTextData=0.119884, BuildExportMap=0.282172, SortExportsNonSeekfree=2.766434, SortExportsSeekfreeConstructor=0.063159, SortExportsSeekfreeInner=31.212967, SortExportsSeekfree=0.009064, BuildDependencyMap=0.146788, SerializeImportMap=0.026021, SerializeExportMap=0.084504, SerializeDependencyMap=0.018712, SerializeStringAssetReferenceMap=0.002339, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.959848, SerializeExports=21.380291, SerializeBulkData=0.011992, MoveFile=3.090713, UnaccountedTime=0.731301, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_6, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.411998, FlushAsyncLoading=0.002630, FlushStreamingFunc=0.040352, BlockTillAllRequestsFinished=0.004970, ResetLoadersForSaveUnMarkAllObjects=0.115208, TagPackageExports=15.750054, BeginCacheForCookedPlatformData=0.006724, SerializeImports=16.752415, GatherLocalizableTextData=16.140413, MarkNames=0.129241, SerializeSummary=0.017252, SerializeNames=0.406444, SerializeGatherableTextData=0.128951, BuildExportMap=0.282753, SortExportsNonSeekfree=2.800353, SortExportsSeekfreeConstructor=0.063743, SortExportsSeekfreeInner=31.572916, SortExportsSeekfree=0.008188, BuildDependencyMap=0.144448, SerializeImportMap=0.026319, SerializeExportMap=0.083625, SerializeDependencyMap=0.018127, SerializeStringAssetReferenceMap=0.002339, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.864231, SerializeExports=23.290861, SerializeBulkData=0.011694, MoveFile=4.877303, UnaccountedTime=0.797678, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_7, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.298545, FlushAsyncLoading=0.002630, FlushStreamingFunc=0.042692, BlockTillAllRequestsFinished=0.004094, ResetLoadersForSaveUnMarkAllObjects=0.124563, TagPackageExports=16.381939, BeginCacheForCookedPlatformData=0.006434, SerializeImports=16.944229, GatherLocalizableTextData=17.137218, MarkNames=0.129536, SerializeSummary=0.016667, SerializeNames=0.390358, SerializeGatherableTextData=0.123687, BuildExportMap=0.274859, SortExportsNonSeekfree=2.759419, SortExportsSeekfreeConstructor=0.068713, SortExportsSeekfreeInner=33.488457, SortExportsSeekfree=0.008773, BuildDependencyMap=0.149418, SerializeImportMap=0.024855, SerializeExportMap=0.084504, SerializeDependencyMap=0.018127, SerializeStringAssetReferenceMap=0.002924, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.505178, SerializeExports=22.475348, SerializeBulkData=0.011988, MoveFile=3.652714, UnaccountedTime=0.722237, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_8, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.394747, FlushAsyncLoading=0.002924, FlushStreamingFunc=0.042982, BlockTillAllRequestsFinished=0.004679, ResetLoadersForSaveUnMarkAllObjects=0.115499, TagPackageExports=15.688941, BeginCacheForCookedPlatformData=0.007603, SerializeImports=17.086924, GatherLocalizableTextData=15.253261, MarkNames=0.123102, SerializeSummary=0.019006, SerializeNames=0.413459, SerializeGatherableTextData=0.149712, BuildExportMap=0.426907, SortExportsNonSeekfree=2.769358, SortExportsSeekfreeConstructor=0.068717, SortExportsSeekfreeInner=30.288383, SortExportsSeekfree=0.012573, BuildDependencyMap=0.172228, SerializeImportMap=0.024855, SerializeExportMap=0.083335, SerializeDependencyMap=0.017542, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.116575, SerializeExports=21.848143, SerializeBulkData=0.012279, MoveFile=3.322296, UnaccountedTime=0.853527, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_9, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.306148, FlushAsyncLoading=0.002924, FlushStreamingFunc=0.041522, BlockTillAllRequestsFinished=0.003800, ResetLoadersForSaveUnMarkAllObjects=0.109360, TagPackageExports=15.593615, BeginCacheForCookedPlatformData=0.007018, SerializeImports=17.346289, GatherLocalizableTextData=15.306477, MarkNames=0.123978, SerializeSummary=0.016958, SerializeNames=0.405565, SerializeGatherableTextData=0.123102, BuildExportMap=0.282172, SortExportsNonSeekfree=2.744798, SortExportsSeekfreeConstructor=0.076316, SortExportsSeekfreeInner=30.246861, SortExportsSeekfree=0.008188, BuildDependencyMap=0.178367, SerializeImportMap=0.025436, SerializeExportMap=0.083629, SerializeDependencyMap=0.017252, SerializeStringAssetReferenceMap=0.002339, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.236168, SerializeExports=23.023602, SerializeBulkData=0.011992, MoveFile=3.023166, UnaccountedTime=0.867561, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_10, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.602419, FlushAsyncLoading=0.011694, FlushStreamingFunc=0.033919, BlockTillAllRequestsFinished=0.004973, ResetLoadersForSaveUnMarkAllObjects=0.138599, TagPackageExports=15.823446, BeginCacheForCookedPlatformData=0.005554, SerializeImports=17.825537, GatherLocalizableTextData=15.845377, MarkNames=0.142988, SerializeSummary=0.017252, SerializeNames=0.376321, SerializeGatherableTextData=0.120472, BuildExportMap=0.271060, SortExportsNonSeekfree=2.767604, SortExportsSeekfreeConstructor=0.061989, SortExportsSeekfreeInner=30.228733, SortExportsSeekfree=0.008479, BuildDependencyMap=0.139184, SerializeImportMap=0.049416, SerializeExportMap=0.118714, SerializeDependencyMap=0.017542, SerializeStringAssetReferenceMap=0.002924, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.143770, SerializeExports=22.888512, SerializeBulkData=0.019886, MoveFile=9.807817, UnaccountedTime=1.648575, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
